dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-03-27,-6.008170644,-5.389276987,-6.132719971,-6.605244580211269,-4.644713050244317,-6.464354677691081,-5.9899982375338485,-7.793809225035511,-7.793809225035511,-7.929995074,-8.397825784,-6.8951645,-8.621873697,-6.046001685588815,-5.72019896566626,-5.643602835854182,-6.48421136773327
2000-03-28,-6.494832175,-6.006813362,-6.686108561,-6.610264417317566,-6.926283695449171,-6.664836444301676,-6.528566080639412,-8.067360265705936,-8.067360265705936,-8.172490808,-8.496949436,-6.9329761,-8.685907061,-7.1349249878373735,-5.723706526689544,-5.958319600436619,-7.591897589980081
2000-03-29,-6.183101908,-5.68372451,-6.370572779,-6.615300522847068,-5.485911956144924,-6.532996067796458,-5.983557701300434,-7.713954772687975,-7.713954772687975,-7.873769531,-8.161838738,-6.7538493,-8.439724812,-6.868379066919642,-5.719263429642928,-5.684755527818166,-5.881140183342046
2000-03-30,-5.868368085,-5.429696163,-6.097367919,-6.6203550962035775,-5.224751895202742,-5.717741929543696,-5.568636205964488,-7.313222406217378,-7.313222406217378,-7.500913669,-7.860733331,-6.568794,-8.183978689,-6.094638581132431,-5.713696626906925,-5.622734021090188,-8.058104223278628
2000-03-31,-5.909139,-5.534407768,-6.160824124,-6.625423458747046,-6.093069319120602,-5.119938217043405,-5.457295115943582,-7.243488231425863,-7.243488231425863,-7.416574413,-7.683771277,-6.4552047,-8.021233879,-6.452832842720106,-5.713557183687735,-5.70061593124268,-7.808435404826417
2000-04-03,-5.538479261,-5.170456226,-5.793173476,-6.628946064488776,-4.820905994688774,-4.55767151869236,-4.943310303444122,-6.766991278861625,-6.766991278861625,-6.97309903,-7.363571707,-6.2715172,-7.758765648,-7.0185837633311685,-5.71242763393243,-5.601970804504802,-7.805789597399944
2000-04-04,-5.756388019,-5.326907983,-5.958020922,-6.634043168308667,-5.02012526492202,-6.06427359545814,-5.67111160023724,-7.323972063898322,-7.323972063898322,-7.484919574,-7.708783847,-6.480629,-8.057599089,-6.492801936339159,-5.731168949245025,-6.145383936238473,-7.791161416666027
2000-04-05,-7.134005424,-6.729632832,-7.303538915,-6.639159588077973,-7.282135632733303,-7.929616888060366,-6.631525814371086,-8.253162591675604,-8.253162591675604,-8.293833252,-8.624182041,-6.9332722,-8.73855917,-7.988372702768583,-5.815238232093208,-6.530226149680073,-7.214766346086581
2000-04-06,-7.065503923,-6.677073417,-7.243444858,-6.644290809222679,-8.027000989520765,-6.5506505503984,-6.357010369462242,-8.040074706669186,-8.040074706669186,-8.159785792,-8.351194428,-6.8069532,-8.563286143,-7.421938224820372,-5.797642078926604,-5.730299825391596,-6.598276733551391
2000-04-07,-7.243104713,-6.85133017,-7.40195327,-6.649434100327464,-7.455291656707935,-6.219869386645646,-6.33640253453079,-8.060933397713638,-8.060933397713638,-8.180983371,-8.257522392,-6.7475638,-8.48088347,-6.21857820992563,-5.818364853453984,-5.818307728189038,-8.606667199348514
2000-04-10,-7.102979972,-6.690096384,-7.242074845,-6.654606413388514,-6.541527828586799,-6.025243857404994,-6.03342447997755,-7.819188964056306,-7.819188964056306,-7.970330344,-8.008875441,-6.6027001,-8.276509889,-6.119986248025172,-5.81770510245453,-5.702457429316988,-7.294926036218055
2000-04-11,-6.896179239,-6.488601266,-7.075215592,-6.6597872985851145,-5.931416762704515,-6.136468579402426,-6.192273410019652,-7.875969824264176,-7.875969824264176,-8.052316852,-7.927431798,-6.5776321,-8.242267847,-7.710849156170172,-5.805178318054678,-5.895176012475135,-7.049041028605398
2000-04-12,-6.524712129,-6.12248775,-6.733769686,-6.664991728197974,-4.8711114934730215,-6.144044411730904,-5.880760870948611,-7.57895178605072,-7.57895178605072,-7.809949711,-7.672152844,-6.4180813,-8.035636291,-6.127762284025448,-5.775507624310412,-5.6978768902840935,-7.881464895790391
2000-04-13,-6.525846234,-6.093529485,-6.727643816,-6.670207343225128,-5.031481032776293,-7.07502838596452,-6.322484916083711,-7.894677909625609,-7.894677909625609,-8.099565334,-7.8388592,-6.5243325,-8.175494436,-5.822262869552485,-5.757623621056572,-6.043847961700132,-8.235130260788162
2000-04-14,-6.962995526,-6.574195116,-7.169443477,-6.605916037125748,-6.912688648614175,-6.543140258397834,-6.510680999890164,-8.14108837859432,-8.14108837859432,-8.275521494,-7.979765747,-6.5620662,-8.22656298,-5.7749401106537706,-5.792589847226101,-5.95501860995309,-7.305764360089125
2000-04-17,-9.353234084,-8.842281716,-9.409572288,-6.900797495794936,-13.845299895955716,-9.440637781064869,-6.445527739310047,-9.877475102734527,-9.877475102734527,-9.847513573,-10.09186886,-7.7412036,-10.03197417,-5.773345023079474,-5.927858316284478,-7.542407819223744,-6.93230212763918
2000-04-18,-8.695221887,-8.132808737,-8.766564213,-6.904228235958393,-11.372206168027772,-9.567965782997389,-7.301617918584244,-9.093073673655644,-9.093073673655644,-9.195838359,-9.581727903,-7.5055409,-9.673076565,-6.781147462244619,-5.92933936231538,-5.73959073033392,-9.671510539326505
2000-04-19,-8.506416774,-7.95706595,-8.649860954,-6.907665410124949,-6.891944691411332,-8.892172432256372,-7.94764431077208,-9.418616331719283,-9.418616331719283,-9.524059166,-9.720124684,-7.6109948,-9.82792637,-6.52270837710157,-5.93769030304166,-6.276366539385114,-7.960366390059775
2000-04-20,-7.960149209,-7.402299844,-8.125537709,-6.911112897417887,-9.11281604580359,-8.10834868099352,-6.474399260741794,-8.789612597888613,-8.789612597888613,-8.949321433,-9.289142555,-7.3830968,-9.493547913,-6.555448768263128,-5.934815401963474,-5.771472306522036,-8.055737825179095
