dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH-st,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-03-21,-6.307168909,-5.784288107,-5.901929032,-5.720896694568919,-6.142410666769748,-7.295586247796982,-5.902505718649248,-6.304623849699453,-6.260048916,-6.304623849699453,-6.058865599,-0.060588478,-7.449984796,-5.704544856670771,-5.86922750196741,-6.067589169099183,-7.759985993483821
2000-03-22,-5.945343912,-5.442979036,-5.57016303,-5.719798103120103,-4.904219510749397,-7.64145812685181,-7.70099788119755,-7.026593623793199,-5.837599842,-7.026593623793199,-6.748280941,-0.067409595,-8.011692448,-5.978993885917377,-5.885866395491462,-6.690632183491169,-5.775387214116879
2000-03-23,-5.648719231,-5.163031158,-5.29309025,-5.718695619029065,-4.547778048921559,-7.395116093339166,-7.874690803475943,-6.975884335885285,-5.500241057,-6.975884335885285,-6.620684319,-0.065590675,-7.868768464,-7.796626559436257,-5.864053056285002,-6.237281003550256,-6.148621067968873
2000-03-24,-5.406492265,-4.934315219,-5.062454277,-5.7186462300231815,-3.775223363857918,-9.782289810120746,-11.425377493369924,-8.558712684492392,-5.149059084,-8.558712684492392,-8.739191414,-0.08276468,-9.395337186,-5.766967654051785,-5.910040343894502,-7.4766635093149825,-8.187135302164304
2000-03-27,-5.209396041,-4.748131962,-4.871061792,-5.717539745810279,-4.188178563226182,-8.340944890600703,-8.849338043710897,-8.000852224459047,-4.905769005,-8.000852224459047,-8.200990287,-0.078200351,-9.048222819,-5.589700999009325,-5.905676710919231,-6.240761503010365,-7.353065675091567
2000-03-28,-5.049540285,-4.597066743,-4.712682919,-5.716431782171947,-4.586648737883049,-7.907540570636064,-6.83871865706392,-7.175653383490412,-4.705386273,-7.175653383490412,-7.560074276,-0.072941662,-8.634385319,-5.163633478496868,-5.900175594618759,-6.1560516140434,-5.994810851548859
2000-03-29,-6.142827756,-5.626962043,-5.67569158,-5.715319467659454,-8.499099337242685,-8.270676356465605,-7.308828194819496,-7.353747158478522,-5.626149523,-7.353747158478522,-7.527571465,-0.072163135,-8.587673773,-6.452524043658484,-5.930024271655087,-6.352539997047478,-6.8333736253550015
2000-03-30,-6.709118898,-6.172855832,-6.203270805,-5.71420583539743,-9.58431022702389,-7.655081610047706,-7.217141630709948,-7.337857941795734,-6.239735413,-7.337857941795734,-7.369283333,-0.070212062,-8.485417571,-7.281988212384836,-5.946265786220309,-6.289166927461583,-6.269688410304282
2000-03-31,-7.627250644,-7.050824017,-7.052067834,-5.713092638880744,-11.303316619686967,-7.777890654952092,-7.872625544008892,-7.601147033293167,-7.097346995,-7.601147033293167,-7.507228195,-0.071355838,-8.574778171,-6.754224419496788,-5.984537474371438,-6.439336628132184,-8.28734686960854
2000-04-03,-7.036120033,-6.490217414,-6.53690931,-5.711974207186984,-7.02356408022389,-9.136404332611075,-9.42853614614808,-7.964788623273495,-6.555800072,-7.964788623273495,-7.820461097,-0.075228455,-8.891084741,-5.538951732814274,-5.999884487022965,-6.786040446020718,-6.083519952321603
2000-04-04,-9.509119779,-8.810327627,-8.746415912,-5.822135488133476,-15.18309399526244,-9.25389679469599,-10.88054274614734,-9.088763645859856,-8.406114112,-9.088763645859856,-9.070707233,-0.082937408,-9.683314333,-6.726296853204173,-6.081253143732248,-7.075295718262799,-6.921399946687397
2000-04-05,-8.607293261,-7.96036497,-7.973596695,-5.823368572467355,-8.357635742617347,-7.7419069865912755,-7.303714275532271,-7.772356363241065,-7.715972918,-7.772356363241065,-8.145305693,-0.07700483,-9.21797041,-6.108499205730514,-6.0819355915144495,-6.2500074091805535,-7.266459504625403
2000-04-06,-8.236709969,-7.610653073,-7.668420821,-5.8224274757643,-8.468328435375234,-9.174663062626738,-6.445983824316421,-7.354188590768011,-7.652195749,-7.354188590768011,-7.671554007,-0.073206011,-8.908282616,-8.372796120343162,-6.0904673078159774,-6.301500987145335,-9.503650021826603
2000-04-07,-7.639873252,-7.049636132,-7.150828193,-5.81477646119847,-7.183587041409832,-7.336264080861982,-5.307461671423537,-6.814950846589364,-7.285491095,-6.814950846589364,-7.256903314,-0.068557181,-8.572269316,-6.817148404727351,-6.060284111691129,-6.238547597865809,-6.318024401280456
