dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-02-22,-11.79652502,-11.38899058,-13.17458622,-8.327612590420248,-9.65234391666409,-12.476037919315084,-8.784129656404458,-11.8662193944269,-10.201063293436388,-11.62203864,-8.234802199,-0.068568189,-7.968915803,-8.575687349284413,-7.824002208377278,-7.5983336723394705,-10.217899010844796
2000-02-23,-12.03716237,-11.59998823,-13.39762131,-8.334769162610199,-10.340827564413727,-12.336770448250157,-9.122202124744728,-11.880642189986226,-10.206730530029468,-11.60984255,-8.360972254,-0.069538628,-8.080376431,-9.43437676764582,-7.851723169706405,-7.632686494844014,-11.238272806155864
2000-02-24,-11.77931926,-11.34837283,-12.99162576,-8.341967543218132,-9.895525437606656,-8.595129900176069,-9.4122666873854,-11.739801184579973,-10.21720722268302,-11.63545246,-8.5365923,-0.072324373,-8.445507091,-6.651581027897134,-7.85864080977964,-7.690662142109585,-10.139462893985527
2000-02-25,-11.96431692,-11.55939828,-13.22170475,-8.349196681219691,-8.849475263265594,-12.441733343310782,-9.356308459062577,-11.798186127410348,-10.187621949120254,-11.58247715,-8.329065969,-0.069624845,-8.122284727,-9.983629638712651,-7.886169388569649,-7.668801013045183,-11.962046930401238
2000-02-28,-11.98480279,-11.53182242,-13.06997724,-8.214587335646026,-9.719689202009784,-9.760435551463202,-8.109877504284771,-11.51939902488504,-9.963848155845524,-11.21737478,-6.920342391,-0.058236451,-6.96980906,-7.301000281585535,-7.886861865072459,-7.461216027321115,-11.04117628018088
2000-02-29,-11.7556698,-11.30567567,-12.73608073,-8.223888319175854,-9.305985753246478,-3.303868394502791e+20,-9.590099220415844,-11.59915430782634,-10.10589463447899,-11.39613409,-9.507841795,-0.081317219,-9.320102757,-7.555136562941076,-7.885147716056521,-7.905646811024917,-9.598745750882856
2000-03-01,-11.47065392,-11.01539749,-12.25635233,-8.23303923438936,-11.083861743509036,-8.541391047650988,-8.352621513823072,-11.400972747236152,-9.911406509826367,-11.10203265,-7.020827098,-0.059149849,-7.193476973,-6.937801173062643,-7.88605083499765,-7.504243585691429,-10.711982872087214
2000-03-02,-11.33967517,-10.8898954,-11.97498628,-7.754041243869686,-7.328651237638013,-7.317234193620914,-7.201547313657037,-11.082031505524988,-9.60572056322922,-10.59370355,-6.51891395,-0.055236535,-6.695001868,-8.318257568200336,-7.881459424339018,-7.419658680119829,-11.89610572486161
2000-03-03,-11.12649855,-10.67969715,-11.68921545,-7.758211152162091,-9.327221573526836,-9.203684464168637,-9.080029450322536,-11.148971630470292,-9.747479099923424,-10.92101157,-9.177067282,-0.078541401,-9.034445633,-9.18481721479638,-7.895967268503865,-7.857942613498734,-9.609375864198675
2000-03-06,-10.77672016,-10.39933502,-11.17389744,-7.76239433296302,-6.810937649782704,-8.728261505989371,-8.685398987774276,-10.7914659570101,-9.341388713491368,-10.29726206,-6.356813632,-0.053803812,-6.639792042,-9.596212812735969,-7.892498609000123,-7.416036833080825,-9.952965900790783
2000-03-07,-10.94822533,-10.55995403,-11.37119803,-7.7665916238882735,-8.085054227924626,-6.606844490315372,-7.937596505972483,-10.802569990382889,-9.286877487741618,-10.26739048,-7.777189397,-0.065179838,-7.622606598,-7.775325765163374,-7.8942125320171534,-7.583287566791314,-10.624957707154042
2000-03-08,-11.03479786,-10.61115409,-11.39402569,-7.770802091065203,-8.754009836649882,-7.812096466583412,-7.80111762799431,-10.626819131704895,-9.134406327069598,-10.06821244,-7.171798353,-0.06036292,-7.169719259,-8.184128125795544,-7.893127443831233,-7.491618170692161,-11.452716603971927
2000-03-09,-11.11765437,-10.66767705,-11.42635938,-7.018885118320256,-10.393525192380118,-7.799868298747024,-7.5951250022229555,-10.477208453613482,-9.01278666294232,-9.871868178,-7.180874373,-0.060563713,-7.182925308,-8.47660338274161,-7.908333839082437,-7.501507529254459,-12.142682703244422
2000-03-10,-11.14427713,-10.66516862,-11.36701564,-7.018681182246019,-6.366676388323183,-6.973982563253208,-7.397363749069898,-10.276775715877392,-8.838413300820182,-9.572284038,-6.904046535,-0.058415868,-6.982370944,-8.469140689143323,-7.920563382961953,-7.466402577871339,-9.621369170954043
