Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2011-07-18,-3.6949672947837287,-3.4536927590964455,-3.2314525895202992,-4.59841942618736,-4.553156776902652,-2.978617872140568,-4.176245784814473,-2.900410976272203,-3.5170990949203844,-2.735549329184291,-3.3306987072113117,-2.090849198750977,-3.696489962895763,-1.644477900222187,-4.282450994706851,-1.90812620393336,-1.8055218186627566,-2.976321648523154,-2.7298541307272837,-3.1481519755698706,-4.109052557359136,-2.6944322575975153,-1.7917801858179998,-2.063637248527217,-2.263071550699546,-3.8596275020047948,-2.9276265426927117,-2.0031608663502922,-1.7965482042758156,-2.5248848311067924
2011-07-19,-3.9876323388418298,-3.4303628385093616,-3.4615567607907334,-4.611027835917693,-4.495659024226209,-2.7424038768104544,-4.269867915194521,-3.0201546386782665,-3.442615761845819,-2.6943115378666653,-3.1859075854047942,-1.9644335982553034,-3.568053327829152,-1.6904143944553949,-4.021752563328566,-1.9355147004148094,-1.7575737164007048,-2.9862260885941363,-2.8139824084701197,-3.094827049618345,-4.114669470464137,-2.6657342178415973,-1.7813330765456075,-2.0651227675312094,-2.643536002753277,-3.6767591886441986,-2.913764625552554,-1.95451353665345,-1.8084423165666268,-2.424294513115109
2011-07-20,-3.791283152625713,-3.381270146539992,-3.5361933403582793,-4.62802638465257,-4.557354242149422,-2.7901222327842343,-4.268990795165659,-3.2365118133356163,-3.554534666132458,-2.7731116939663427,-3.3544446935866774,-3.9375496328696697,-4.021591236666977,-1.7355808937400945,-4.06075030024066,-2.606230675607163,-1.8077386396651258,-2.923389826703186,-2.8157577104170666,-3.730392243325489,-3.910260132985434,-2.757260854447009,-1.714103808436483,-2.0695123718050605,-2.571071215000009,-3.6886900370378686,-2.9827376955617773,-1.9756447917201991,-1.910800335799306,-2.5158454948235147
2011-07-21,-4.145058719211302,-3.289562159521693,-3.687331000477445,-4.451943154904114,-4.5540889564420635,-2.665490337879901,-4.221258157297176,-3.1081634294602623,-3.5581541091624564,-2.7513621371624413,-3.3601401521899685,-3.7098391092606353,-3.8452815540582503,-1.8363495824780511,-4.150788054552779,-2.561244923443182,-1.7328698671725609,-2.82606069073898,-2.7667575238929554,-3.848288517068924,-3.749485230091374,-2.651942629484115,-1.7357131146822735,-1.9983199237094855,-2.4535341031138973,-3.4880274345003954,-3.187236091932426,-2.0410014415413054,-1.8296510920705367,-2.402436377721847
2011-07-22,-3.8485006287979973,-3.2639301378043712,-3.655217499195022,-4.390719239087789,-4.932869037422534,-2.994092293020472,-4.304709351602527,-3.675357803966636,-3.723668898973074,-2.739338848040235,-3.740076095262231,-3.501897813509809,-3.781918002240521,-1.7328374701716966,-4.835758936465351,-2.513584741417704,-1.6869749137546841,-2.9403797500508295,-2.923153660185885,-3.5903906823393075,-3.7725016575572807,-2.6766382217924827,-1.717151578873552,-1.9040403682495268,-2.517628803665002,-3.5119017788436078,-3.1598894665080386,-2.0437760180181828,-1.9080565242282652,-2.7627103447837467
2011-07-25,-3.879181066727868,-3.2074841347766236,-3.5438387973697485,-5.386803158888841,-4.8481584119589805,-2.858836284213038,-4.160471480297858,-3.4470039964761066,-3.644767473662838,-2.678133752007302,-3.76780021743472,-3.2189899781809337,-3.8092396552852485,-1.656502975519926,-4.4136213581113095,-2.451025206481893,-2.000052370362731,-2.8789847551768895,-2.8255792747411634,-3.692030361003691,-3.6103195970979858,-2.5801930949040064,-1.7061655300082488,-1.8101072761445895,-2.3805463910966744,-3.5296521128777876,-3.068606532107783,-2.3562054154634597,-1.8284399742135402,-2.6193039454943583
2011-07-26,-3.831537537470799,-3.1986431643460604,-3.6632384084229517,-5.115412748747144,-4.785401674788518,-2.857592951138228,-4.1228159758184395,-3.2839054408529518,-3.520384535356069,-2.531787744517535,-3.750996176028575,-3.1769684496549955,-3.6741780444899224,-1.7610501077808924,-4.358440251413865,-2.4438901862810907,-1.9708975943664029,-2.817550038284866,-2.7764260231190576,-3.748078753009741,-3.5938498154008514,-2.6531674252079664,-1.8715895905631639,-1.9865585161012858,-2.5859044929940542,-3.7966801484797315,-2.9818759919559117,-2.483493930374968,-1.915668341432492,-2.623336796470571
2011-07-27,-3.7637559358335677,-3.1347522006014974,-3.7215073014550435,-4.904678282543936,-4.598980994502372,-2.7821573511846682,-3.9786188506209963,-3.114042727451497,-3.732681086273208,-2.5408009254129778,-3.7217308809596825,-3.0546077177118205,-3.5811998607288356,-1.7723237674960886,-4.1628804669452775,-2.3262271898667106,-1.9192872036816544,-3.4113376916144316,-2.685148318224447,-3.626558325853758,-3.559820955752537,-2.6788070647462496,-1.8543810366533866,-1.8717927662220566,-2.4482997278118908,-3.7759019475192477,-3.098195286734873,-2.3808343679698494,-1.9512473076281092,-2.50693166890194
2011-07-28,-4.335387812181599,-3.3705498088927377,-3.64156181430274,-5.364590562882291,-4.983001203252842,-3.066625862374608,-4.1774154600343625,-3.465006272585625,-3.970119117704434,-2.9782314025483627,-3.8758569065587953,-3.0571049773706145,-3.698926997046107,-1.9902398923288216,-4.35925244838212,-2.341950293929906,-2.0156689315931673,-3.573406645433479,-2.8602630918846397,-4.013969318985171,-3.7570316602415983,-2.8173322936728558,-1.9973247746665035,-1.76983583884017,-2.487520417636249,-4.176529508072529,-3.6131522040586512,-2.294287287197928,-1.963741688141663,-2.672922548886362
2011-07-29,-4.0629549313497835,-3.203650215887361,-3.4765766779682683,-5.37781106755038,-5.076832054184534,-3.0002489835077144,-4.122282915740854,-3.3469174224443865,-3.7733895656510907,-3.1203913685752074,-3.967615180701687,-2.840084756478396,-3.494385741840745,-1.8735103555620394,-4.006849003875951,-2.2152107661275555,-2.003811413962999,-3.5240772881795714,-2.839965030782115,-4.017148620398178,-3.8727396722886964,-2.725444031294816,-1.9930443825723458,-2.203885495567587,-2.6538711781339703,-3.979816246566036,-3.63383893874439,-2.447991181638618,-1.9561948544834273,-3.139055271812174
2011-08-01,-3.8750571648717567,-3.218177911489279,-3.354703720186212,-5.22765674856396,-4.86239721097592,-3.0256568974750184,-4.13575711997259,-3.571168475837334,-3.770786241270131,-3.044310292363609,-4.361440098059209,-2.6305659963460397,-3.4831912282440727,-1.851527747234012,-3.8021162314459773,-2.3387415476139517,-1.9840477505897787,-3.44045422211,-3.1273836702442104,-3.988070682532232,-3.7399450358124042,-2.6824642095686673,-2.0129995814685055,-2.0804221493520485,-2.6782228905839114,-3.9001995283986393,-3.427076100143215,-2.4982732092414484,-1.9557544497173291,-3.51549687978879
