dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-03-07,-12.03287936,-8.555122754,-7.510199455,-7.748641706,-8.342893164,-5.694592281,-10.10923391,-9.249796806,-6.325808552,-7.703617928,-9.086377947,-7.326388314,-8.71629494,-5.525910846,-7.009304679,-6.407169677,-6.64351682,-6.8890052,-6.905573269,-8.449815753,-7.622606598,-5.836788143,-6.434345462,-6.642540602,-13.10979357,-6.204387312,-9.860786116,-10.39589889,-10.55438177,-6.317842248
2000-03-08,-10.92892134,-8.426689164,-7.37121641,-8.548050844,-8.399205022,-7.546829706,-11.10273936,-9.092862379,-7.34242724,-7.717431994,-8.580263987,-6.9226334,-8.768004122,-5.654711966,-6.957841467,-6.688631286,-6.930456713,-7.298424042,-7.197180183,-7.850184573,-7.169719259,-7.091075853,-20.88792338,-6.447271312,-12.85959041,-6.121014598,-11.89733448,-9.978402492,-11.05804099,-8.526013706
2000-03-09,-9.900789912,-8.415986491,-7.540173033,-8.547028591,-7.986142586,-7.331071996,-10.92425092,-9.071974287,-7.033611913,-7.452184716,-8.47373872,-6.934071029,-8.738396385,-6.062950665,-7.172082076,-6.500747751,-6.969118985,-7.166528968,-7.412475137,-7.609763406,-7.182925308,-9.386377688,-20.63191553,-6.511774489,-12.10174033,-6.01714916,-10.46243688,-9.517263381,-10.65040875,-8.227425326
2000-03-10,-9.21081952,-8.116808861,-7.421432867,-8.419991118,-8.550502851,-7.31634527,-10.74287823,-9.105042766,-6.797388046,-7.97202333,-8.700252591,-6.701328818,-8.760606259,-5.950465976,-7.183502279,-6.384137967,-7.125767394,-7.125844787,-8.034847917,-8.179871782,-6.982370944,-10.0535484,-19.76600659,-6.497365722,-11.37261215,-6.546594705,-9.684967891,-9.575520722,-10.23799709,-7.89518914
2000-03-13,-9.301215877,-8.133142894,-7.605592712,-8.311302585,-8.36039549,-7.425508173,-10.56058637,-9.096900524,-6.677550547,-8.069344571,-8.719893845,-6.683927546,-8.738293999,-5.977125358,-7.314261843,-6.42494592,-7.065952204,-7.014404481,-7.944922397,-7.509163041,-6.635950266,-9.462596303,-19.94291189,-6.393094179,-10.71639248,-6.404002025,-9.4376059,-9.230903103,-9.912940255,-8.094826525
2000-03-14,-9.658308161,-7.847537039,-7.46198151,-8.188218092,-7.96716207,-7.242242164,-10.41316985,-8.954247342,-6.561520096,-7.841226987,-8.693815003,-6.561246797,-8.718053091,-5.691288121,-7.177591501,-6.705548165,-7.067501097,-7.087944658,-8.133570732,-7.529766892,-11.1552233,-9.060971172,-19.68042149,-6.127173044,-10.70430253,-6.395613307,-8.592730772,-8.805352507,-9.42827074,-7.902431994
2000-03-15,-11.27872791,-7.637262333,-7.347452787,-8.072390216,-8.15169485,-7.407667162,-10.31709772,-8.890724311,-6.462892049,-7.651182592,-9.000992656,-6.305408484,-8.655990218,-6.189030463,-7.023887454,-6.523454265,-7.497513121,-6.95483238,-8.053941148,-7.56427829,-6.8130096,-8.960980675,-19.20506967,-6.049020145,-10.4966518,-6.239020225,-7.751969263,-8.55549192,-8.923334478,-7.765260861
2000-03-16,-10.26091318,-7.737827713,-7.741444695,-8.540185621,-8.095233796,-7.261342991,-11.57567024,-8.799857995,-7.165331485,-9.242530894,-9.573050206,-6.162340155,-8.58483518,-7.28989713,-7.636662316,-8.647759917,-7.829129331,-7.139867612,-8.41251047,-6.885134074,-12.67993312,-9.826002571,-18.90283498,-7.917994774,-9.82650447,-7.514786895,-7.905902539,-8.143247521,-10.31291465,-7.516566547
2000-03-17,-10.66599744,-9.327677025,-7.667384544,-8.964061529,-7.89510035,-7.070591578,-11.63960505,-8.683539727,-7.382089613,-10.25291579,-9.329251831,-6.03938458,-8.525842059,-7.332644727,-9.156714385,-8.848511555,-7.98087891,-7.82445876,-9.23541478,-6.323711047,-13.32034057,-9.581872667,-18.25493997,-8.436978362,-10.91973348,-10.91776829,-7.481911261,-8.16670842,-10.71026095,-7.467421077
2000-03-20,-10.22105653,-8.994948736,-8.272342404,-8.916465982,-7.75314018,-6.911976734,-11.81735953,-8.778743264,-7.081216234,-10.02525096,-9.532650752,-5.803446053,-8.474569409,-6.807403444,-8.854090013,-8.578920898,-7.923445567,-7.787453307,-9.321562015,-7.050187801,-13.30402916,-9.175047771,-18.00349904,-8.882918021,-10.47629572,-10.45769711,-7.19168422,-8.056929429,-10.35984632,-7.547210712
2000-03-21,-9.599786041,-8.722887029,-8.249286936,-8.889648488,-7.449984796,-6.748806944,-11.52735954,-9.246338309,-6.806681255,-9.668101115,-9.486765953,-5.937191043,-8.434966888,-6.344920214,-9.313944859,-8.31443753,-7.901985293,-7.63872893,-9.245472117,-6.805616284,-13.06195336,-8.856213352,-17.55339605,-8.81696757,-10.22170251,-10.16409932,-7.578529508,-7.646295151,-10.01114756,-7.6175934
2000-03-22,-13.47022461,-8.613946296,-8.102843629,-8.907069853,-8.011692448,-6.907610597,-11.24423569,-9.101984864,-8.029156932,-9.33795381,-9.400192861,-5.762953224,-8.470862642,-4.593092468,-10.0452711,-8.123692729,-7.900842525,-7.779265372,-9.318177609,-8.038615573,-12.67882957,-9.240111508,-17.19275434,-8.490569151,-9.779422218,-10.37564704,-7.410042738,-7.231427137,-9.783262343,-7.573190259
2000-03-23,-13.89344919,-8.356802471,-7.941974399,-8.832411123,-7.868768464,-6.856944869,-11.31495516,-9.096181246,-7.683348856,-9.055240649,-9.360327929,-5.614946119,-8.494804669,-6.007114297,-9.683120775,-8.515369368,-7.777618835,-8.122209127,-9.042537514,-7.292881478,-12.37060352,-9.112550491,-16.39029201,-8.277961712,-10.1345199,-10.0977824,-7.498708763,-7.068593654,-9.550690839,-7.528001852
2000-03-24,-12.17225493,-8.916231721,-7.969484683,-8.7229377,-9.395337186,-6.698515581,-11.06196051,-9.034232299,-8.487839104,-8.806309466,-9.294728538,-5.502850132,-8.478919045,-6.145776606,-10.67750017,-8.224130567,-7.68214575,-7.946250937,-9.000376809,-10.20257188,-6.810671281,-8.617540908,-15.8610035,-8.638679616,-9.715767152,-10.02774902,-8.025204088,-7.081637366,-9.373779112,-7.357121523
2000-03-27,-10.94273674,-8.621873697,-7.934983113,-8.582351487,-9.048222819,-6.570309052,-10.87392331,-8.777655107,-8.13987688,-8.47622733,-8.67321753,-6.373956169,-8.443311393,-9.748906506,-10.48284761,-7.948626972,-7.629575004,-8.144824097,-8.729048914,-9.079885225,-6.696542425,-8.201227687,-15.22495189,-8.542360236,-9.342554527,-10.23351601,-9.444053485,-6.689891652,-9.174712885,-7.300484001
2000-03-28,-9.915895594,-8.685907061,-7.954423214,-8.454666287,-8.634385319,-6.448700916,-10.61810582,-8.629536998,-7.825720238,-8.176403088,-9.262853058,-7.349142941,-8.431783599,-9.501672621,-10.18482904,-8.079628931,-7.53224588,-8.071059291,-8.608915928,-10.94841832,-11.9734275,-7.722609018,-14.85087061,-8.234254275,-8.995756894,-9.744646229,-9.220547124,-6.551703255,-8.753504979,-7.144185766
2000-03-29,-9.238164669,-8.439724812,-7.885093354,-8.380032255,-8.587673773,-6.28625814,-10.37116565,-8.518734358,-7.576852511,-7.884260839,-8.635557409,-7.385073554,-8.480957001,-9.285782854,-9.848447575,-7.815620051,-7.280248682,-7.881507702,-8.452940418,-9.69246723,-7.803072422,-7.282717328,-14.55449075,-7.935780606,-8.70419941,-9.546146451,-8.155473802,-6.165063618,-8.423326788,-7.203768386
2000-03-30,-9.196632519,-8.183978689,-7.716903115,-8.293939013,-8.485417571,-6.597753867,-10.15762036,-8.36950389,-7.905937738,-8.902475733,-9.315774093,-7.290032254,-8.512015713,-8.791471093,-9.998313144,-8.082037095,-7.492707464,-7.752712919,-8.536949166,-9.022039311,-12.01915897,-7.515917309,-14.28507463,-7.652368958,-8.457385749,-9.311305297,-7.493351136,-6.195723614,-9.759641975,-7.1220691
