dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,RTX,VZ,WMT,XOM
2004-02-10,-5.675587973,-2.22958252,-4.484349417,-5.562794525,-7.366996703,-2.334116451,-3.773208353,-3.624316241,-3.91861588,-3.993437334,-5.698315611,-2.625341563,-6.79878042,-2.597609246,-2.825108818,-2.23173236,-4.011834805,-4.698029921,-3.503572894,-3.757915332,-2.422653044,-3.552911257,-2.311200952,-4.518814767,-4.28313921,-3.424963696,-3.24657147,-2.363823818,-2.674051588,-2.820283846
2004-02-11,-5.683847126,-2.285370081,-4.38333403,-5.558914479,-7.161954411,-2.274294717,-3.689222376,-3.564202496,-4.295487512,-4.005367897,-5.656756828,-2.558474485,-6.664694069,-2.67694307,-2.716646294,-2.246582036,-3.990110879,-4.608629933,-3.434705074,-3.664058009,-2.397710301,-3.413322204,-2.277610239,-4.437199442,-4.110612893,-3.317723814,-3.175838528,-2.244370284,-2.60687014,-2.855967426
2004-02-12,-5.812392175,-2.181893576,-4.386505459,-5.846043512,-7.461840385,-2.223895756,-3.845290256,-3.607960713,-4.164131401,-3.813828408,-5.643312156,-2.492146995,-6.442787403,-2.918299038,-2.787784919,-2.319951583,-3.927326803,-4.362003672,-3.367315406,-3.577576083,-2.387120397,-3.290691873,-2.255117978,-4.312120884,-3.904197336,-3.430202487,-3.048765083,-2.134019851,-2.686328225,-3.165172792
2004-02-13,-5.749985294,-2.277496652,-4.252915405,-5.610832563,-7.437380257,-2.184908536,-3.706915219,-3.549413181,-4.466176261,-3.887570224,-6.054097778,-2.553459761,-6.483109296,-3.009946433,-2.705853993,-2.344420237,-4.071686849,-4.75594584,-3.366858351,-3.610273867,-2.481659711,-3.379561777,-2.359520773,-4.381024353,-3.880340385,-3.348792059,-3.090234868,-2.337195586,-2.648285724,-3.012858747
2004-02-17,-5.742542822,-2.218181537,-4.074814926,-5.632168097,-7.24996024,-2.366612393,-3.864676792,-4.036942405,-4.721820784,-4.022304579,-5.908282448,-2.487635129,-6.788192212,-2.903500187,-2.7007311,-2.428047053,-3.994971069,-4.879508095,-3.343934165,-3.793580965,-2.441649876,-3.423790653,-2.354221164,-4.635381214,-3.733496966,-3.254572752,-3.103861775,-2.289207575,-2.793719679,-2.857121084
2004-02-18,-5.713250815,-2.181842815,-3.933587413,-5.821949879,-7.032420796,-2.305952058,-3.769894176,-3.957431349,-4.148760132,-3.961256384,-5.869781398,-2.482641952,-6.525505202,-2.498376533,-2.708496207,-2.343587604,-3.944701097,-5.034401378,-3.251829758,-3.770881511,-2.420062046,-3.369967055,-2.34311419,-4.604434614,-3.54235623,-3.271640798,-3.059460097,-2.075958997,-2.672079715,-2.848845889
2004-02-19,-5.669867795,-2.245736547,-3.778490925,-5.687371655,-6.999325037,-2.420603345,-3.674387361,-3.965358655,-4.043590198,-4.100490573,-5.737658188,-2.607678939,-6.533739976,-2.576909543,-2.689769951,-2.274001232,-3.856309978,-5.090267347,-3.191535239,-3.812583537,-2.466719405,-3.408713104,-2.301314491,-4.74049083,-3.399323714,-3.202148721,-3.109734492,-2.517796815,-2.705365483,-2.90941518
2004-02-20,-5.669739692,-2.211042798,-3.671470258,-5.501556459,-7.19774611,-2.341715505,-3.705680516,-3.895152171,-3.72052284,-4.203457182,-5.692322351,-2.65854364,-6.925031706,-2.822135233,-2.664130457,-2.2933005,-3.790048008,-4.909245793,-3.166751448,-3.938461597,-2.427016936,-3.323634611,-2.338170203,-4.7633609,-3.211518333,-3.198025791,-3.02708089,-2.792674392,-2.587950145,-2.7865435
2004-02-23,-5.609335764,-2.258914695,-3.638098996,-5.636536378,-7.470834859,-2.263600514,-3.73658028,-4.039382965,-3.683394871,-4.136870857,-5.966270631,-2.680706552,-6.743939005,-3.099340494,-2.691322199,-2.237216172,-3.750202065,-4.383405614,-3.257300027,-3.832855927,-2.504989875,-3.175300986,-2.260623237,-4.822460107,-3.048005049,-3.051132795,-3.075259718,-2.796881984,-2.481133361,-2.667531723
2004-02-24,-5.561666866,-2.251409259,-3.944925227,-5.450514701,-7.692593792,-2.230727773,-3.592937001,-3.964663883,-3.854368409,-4.235505747,-5.909807536,-2.893365802,-7.375314609,-2.326521531,-2.724409899,-2.417816798,-3.738574996,-3.900472713,-3.198270181,-3.714732009,-2.491686149,-3.156572911,-2.253707211,-4.701140632,-3.194846456,-2.894592782,-3.751177944,-2.801347988,-2.398920816,-2.803112794
2004-02-25,-5.538358264,-2.206956008,-4.023723194,-5.327257124,-7.429795406,-2.193769593,-3.491727725,-4.296943498,-4.563779138,-4.071330648,-5.97951963,-2.818430045,-7.157702708,-2.203188407,-2.662104538,-2.5740125,-3.73190877,-4.671358148,-3.113502109,-3.662356306,-2.503922738,-3.052109936,-2.593739769,-4.586329099,-3.338342684,-2.901892661,-4.130092276,-2.625517018,-2.369723831,-2.766873299
2004-02-26,-5.583529336,-2.141591881,-4.026642951,-5.187451625,-7.129513513,-2.208729832,-3.536766013,-4.220324725,-3.658449338,-3.950099404,-5.892956734,-2.785267108,-6.914779331,-2.961658391,-2.59913088,-2.535384701,-3.683476023,-4.996158658,-3.229171919,-3.673900994,-2.460509577,-2.942863923,-2.560269634,-4.455713103,-3.217449935,-2.792031701,-3.975353372,-2.589284016,-2.3325379,-2.75851397
2004-02-27,-5.573228131,-2.171552644,-4.757519285,-5.134684503,-7.160941204,-2.143024544,-3.754422893,-4.148232854,-3.713185519,-3.829835774,-5.889836114,-2.710751631,-6.84315098,-3.34272908,-2.551658869,-2.466694174,-3.642558431,-4.981197435,-3.215090926,-3.704476365,-2.489807398,-2.879028902,-2.492560558,-4.333903869,-3.051617439,-2.636830298,-4.480480049,-2.504637352,-2.419772464,-2.775601283
2004-03-01,-5.716870124,-2.136438193,-4.796773153,-5.430624493,-7.155787465,-2.07983087,-3.651098331,-4.157131162,-3.562514155,-4.021976516,-6.021837091,-2.689693701,-6.912711028,-2.756773822,-2.558032676,-2.39531788,-3.560179374,-4.194977439,-3.183493071,-3.590601603,-2.548746792,-3.037542758,-2.528671997,-4.271166608,-3.083101531,-2.522560588,-4.48419329,-2.459433183,-2.361912506,-2.722258424
2004-03-02,-5.672693786,-2.086399988,-4.663603643,-5.428898587,-6.901673034,-2.059836501,-3.547444216,-4.083765142,-4.290927913,-3.88037921,-5.947447969,-2.620065056,-6.669850116,-2.804860527,-2.57328703,-2.455351813,-3.494068108,-4.85810322,-3.144275782,-3.518979724,-2.510448744,-2.975353442,-2.52761485,-4.193351352,-3.060622619,-2.584397868,-4.266133216,-2.371866896,-2.269590994,-2.704111624
2004-03-03,-5.623063392,-2.137255731,-4.696158872,-5.350650821,-7.200730476,-2.267119977,-3.78455438,-4.04809813,-4.167248321,-3.81001892,-5.84843802,-2.587286949,-6.586882815,-2.874858408,-2.51196996,-2.513583193,-3.418715609,-4.369212068,-3.291402969,-3.662214991,-2.474682082,-2.987492647,-2.836322999,-4.299446524,-2.956168562,-2.642114007,-4.592357015,-2.243711973,-2.490576976,-2.798629895
2004-03-04,-5.582382946,-2.099063542,-4.624185021,-5.16418072,-7.33009384,-2.204997916,-3.676717021,-4.013545245,-4.041929815,-3.775203335,-5.718169622,-2.518190039,-6.872608387,-2.661070163,-2.51182735,-2.482561575,-3.400519564,-4.715747052,-3.413909337,-3.537621264,-2.433098273,-2.944489885,-2.752440261,-4.319287954,-3.088405295,-2.766425107,-4.379868499,-2.377448619,-2.398897013,-2.752131457
2004-03-05,-5.800573403,-2.107079363,-4.65892164,-5.033282229,-7.040927945,-2.262232793,-3.572103363,-3.937920699,-4.139797673,-3.734867232,-5.62209592,-2.537661671,-6.611778716,-2.612657435,-2.524830457,-2.527579026,-3.348274926,-4.120109794,-3.40305868,-3.424716912,-2.418562209,-2.930390363,-2.732025723,-4.214774359,-3.134981286,-2.634590187,-4.259974522,-2.305376863,-2.315839287,-2.687208849
2004-03-08,-6.075762965,-2.301010208,-4.446432199,-4.935210925,-7.146225432,-2.208359907,-4.062711949,-4.013996498,-3.5654895,-3.635348355,-5.498919162,-2.470459559,-7.009000624,-2.631711699,-2.518167176,-2.588606006,-3.394820383,-3.936390733,-3.349300099,-3.312441639,-2.376921054,-2.913653209,-2.708532369,-4.193006816,-3.342394738,-2.647907869,-4.154260398,-2.356876086,-2.503510594,-2.921375857
